,date,fighter_fighter,opponent,result,method,form_skore_fighter,form_skore_opponent,ground_def_skill_fighter,ground_att_skill_fighter,stand_def_skill_fighter,stand_att_skill_fighter,stamina_fighter,ground_def_skill_opponent,ground_att_skill_opponent,stand_def_skill_opponent,stand_att_skill_opponent,stamina_opponent
6209,2015-02-22,Santiago Ponzinibbio,Sean Strickland,1,U-DEC,-0.1,0.30000000000000004,1.4279811292938227,0.13141268637856962,1.5826272696210586,1.0320743800034977,1.375,1.6035788227547974,0.5339208468792821,1.5742185291782802,0.6502988215095156,1.6666666666666667
6210,2016-02-21,Alex Garcia,Sean Strickland,0,KO/TKO,0.6000000000000001,0.6000000000000001,1.3785260923586662,0.9018813106404345,1.180554315895043,0.6781474292310906,0.37142857142857144,1.6035788227547974,0.5339208468792821,1.5742185291782802,0.6502988215095156,1.6666666666666667
6211,2021-05-01,Krzysztof Jotko,Sean Strickland,0,U-DEC,-0.29999999999999993,-0.09999999999999998,1.3189219488909,0.4857277104266783,1.1786235613444702,0.47747115167278154,0.46153846153846156,1.6035788227547974,0.5339208468792821,1.5742185291782802,0.6502988215095156,1.6666666666666667
6212,2018-10-27,Nordine Taleb,Sean Strickland,0,KO/TKO,0.5,0.7,1.3736689880768032,0.5560686015831133,1.2177433883628477,0.7225946834030108,0.5666666666666667,1.6035788227547974,0.5339208468792821,1.5742185291782802,0.6502988215095156,1.6666666666666667
6213,2016-06-04,Tom Breese,Sean Strickland,0,S-DEC,0.6000000000000001,0.9,1.2164253612393365,0.00844475721323012,1.3734703069259502,1.3553683202339042,0.3,1.6035788227547974,0.5339208468792821,1.5742185291782802,0.6502988215095156,1.6666666666666667
6214,2018-05-12,Elizeu Zaleski dos Santos,Sean Strickland,1,KO/TKO,0.5,1.1,1.2009699469202277,0.4422981594034225,1.3583515527626517,0.8515845163556566,0.6,1.6035788227547974,0.5339208468792821,1.5742185291782802,0.6502988215095156,1.6666666666666667
6215,2017-04-08,Kamaru Usman,Sean Strickland,1,U-DEC,1.0,0.7000000000000001,1.606309611151871,1.0856197069433147,0.8275313265285258,1.0145232685770254,1.8,1.6035788227547974,0.5339208468792821,1.5742185291782802,0.6502988215095156,1.6666666666666667
6216,2022-02-05,Jack Hermansson,Sean Strickland,0,S-DEC,0.30000000000000004,0.5,1.1388525664046272,1.0468812549931006,1.2898792571194293,0.8380272693989284,0.9333333333333333,1.6035788227547974,0.5339208468792821,1.5742185291782802,0.6502988215095156,1.6666666666666667
6217,2020-10-31,Jack Marshman,Sean Strickland,0,U-DEC,-0.10000000000000009,0.30000000000000004,0.5569228752075989,0.0020466639377814165,1.5240942968932636,0.47291439288318726,0.4,1.6035788227547974,0.5339208468792821,1.5742185291782802,0.6502988215095156,1.6666666666666667
6218,2019-10-18,Court McGee,Sean Brady,0,U-DEC,-0.10000000000000009,0.0,1.5568378667371907,0.5906675034872733,1.1639828772648793,0.40584659552834434,0.5176470588235293,1.59855257556407,2.6332649092480556,1.0865543933338382,0.49182298112774003,0.8
6219,2021-11-20,Michael Chiesa,Sean Brady,0,U-DEC,1.3,1.0,0.9329743056668351,2.279019134765017,0.8718264405760088,0.3319177364104716,1.605,1.59855257556407,2.6332649092480556,1.0865543933338382,0.49182298112774003,0.8
6220,2021-03-06,Jake Matthews,Sean Brady,0,SUB,0.7000000000000001,0.6000000000000001,0.9017201457253367,1.2190636495110247,1.1383683450269155,0.5767527884077815,0.6200000000000001,1.59855257556407,2.6332649092480556,1.0865543933338382,0.49182298112774003,0.8
6221,2020-02-29,Ismail Naurdiev,Sean Brady,0,U-DEC,0.20000000000000004,0.1,1.0871613317691735,0.6119852695011717,1.382581302288145,0.38231791367996076,0.3,1.59855257556407,2.6332649092480556,1.0865543933338382,0.49182298112774003,0.8
6222,2021-05-22,Court McGee,Claudio Silva,1,U-DEC,-0.7000000000000001,1.3,1.5568378667371907,0.5906675034872733,1.1639828772648793,0.40584659552834434,0.5176470588235293,1.2002814914543956,1.8219485495347567,1.0213100695557331,0.3871204566146516,0.36
6223,2014-03-08,Brad Scott,Claudio Silva,0,U-DEC,-0.1,0.0,0.9995458729214999,0.6775551510541187,1.0662443719493897,0.330675918771812,0.32,1.2002814914543956,1.8219485495347567,1.0213100695557331,0.3871204566146516,0.36
6224,2020-10-17,James Krause,Claudio Silva,1,U-DEC,1.3,1.5,1.355333492742943,0.6057318639548604,1.2508951649428683,0.8861476801127647,0.6,1.2002814914543956,1.8219485495347567,1.0213100695557331,0.3871204566146516,0.36
6225,2018-05-27,Nordine Taleb,Claudio Silva,0,SUB,-0.09999999999999998,0.30000000000000004,1.3736689880768032,0.5560686015831133,1.2177433883628477,0.7225946834030108,0.5666666666666667,1.2002814914543956,1.8219485495347567,1.0213100695557331,0.3871204566146516,0.36
6226,2014-11-08,Leon Edwards,Claudio Silva,0,S-DEC,0.0,0.1,1.3886707644209708,0.5864005572655762,1.2328182441751265,0.6456302363631009,1.4666666666666668,1.2002814914543956,1.8219485495347567,1.0213100695557331,0.3871204566146516,0.36
6227,2019-03-16,Danny Roberts,Claudio Silva,0,SUB,-0.09999999999999998,0.6000000000000001,0.8754792954419819,0.25613969728845254,0.6937522366596953,0.7952234829081544,0.5,1.2002814914543956,1.8219485495347567,1.0213100695557331,0.3871204566146516,0.36
6228,2022-01-15,Court McGee,Ramiz Brahimaj,1,U-DEC,-0.30000000000000004,-0.1,1.5568378667371907,0.5906675034872733,1.1639828772648793,0.40584659552834434,0.5176470588235293,1.040616917329246,1.8436605316973416,0.9208797280976617,0.29385110103489576,0.0
6229,2020-11-07,Max Griffin,Ramiz Brahimaj,1,KO/TKO,-0.9,0.0,1.4737280465419875,0.3721702219206176,1.2063532004742397,0.8506274253243414,0.21818181818181817,1.040616917329246,1.8436605316973416,0.9208797280976617,0.29385110103489576,0.0
6230,2012-06-01,Charles Oliveira,Jonathan Brookins,1,SUB,-0.30000000000000004,0.20000000000000004,0.967647721296491,2.088013509423212,1.081448370146708,0.583230709389401,0.6000000000000001,0.8364277500958222,0.6851071878940733,0.8365375422418001,0.737787718991302,0.3
6231,2010-12-04,Michael Johnson,Jonathan Brookins,0,U-DEC,0.0,0.0,1.125178024747552,0.3304981035602775,1.6107540326063683,0.7216037089616943,0.36250000000000004,0.8364277500958222,0.6851071878940733,0.8365375422418001,0.737787718991302,0.3
6232,2012-12-15,Dustin Poirier,Jonathan Brookins,1,SUB,1.3,0.19999999999999998,1.0313697368693935,0.6584766041586502,1.0727483081563731,1.177444900103405,1.31,0.8364277500958222,0.6851071878940733,0.8365375422418001,0.737787718991302,0.3
6233,2011-09-17,Erik Koch,Jonathan Brookins,1,U-DEC,0.1,0.1,1.025327923956037,0.4995341767186427,1.0405291956941987,0.6860369247303113,0.33999999999999997,0.8364277500958222,0.6851071878940733,0.8365375422418001,0.737787718991302,0.3
6234,2012-02-15,Vagner Rocha,Jonathan Brookins,0,KO/TKO,-0.1,0.1,0.5057984135195724,1.0137836301629404,0.8230060440230319,0.3231973184851734,0.1,0.8364277500958222,0.6851071878940733,0.8365375422418001,0.737787718991302,0.3
6235,2018-09-22,Charles Oliveira,Christos Giagos,1,SUB,-0.7,-0.20000000000000004,0.967647721296491,2.088013509423212,1.081448370146708,0.583230709389401,0.6000000000000001,0.5163204747028834,0.9915761709493294,0.9430635645110647,0.32847384049778117,0.4
6236,2018-12-01,Mizuto Hirota,Christos Giagos,0,U-DEC,-0.9,-0.4,0.9066081209040391,0.39564016301523486,1.2696100517143458,0.3555793428361278,0.08571428571428572,0.5163204747028834,0.9915761709493294,0.9430635645110647,0.32847384049778117,0.4
6237,2021-05-15,Sean Soriano,Christos Giagos,0,SUB,-0.6000000000000001,-0.5,0.21792473888140154,0.3407083987441129,1.5396529804441106,0.3842287554712143,0.0,0.5163204747028834,0.9915761709493294,0.9430635645110647,0.32847384049778117,0.4
6238,2014-10-25,Gilbert Burns,Christos Giagos,1,SUB,0.1,0.0,1.3254499953926746,1.1005483236117037,0.9828324753790588,0.7027755023620927,1.56,0.5163204747028834,0.9915761709493294,0.9430635645110647,0.32847384049778117,0.4
6239,2015-06-06,Chris Wade,Christos Giagos,1,U-DEC,0.30000000000000004,-0.1,1.4561803793526222,1.8953789926151203,1.1024825939327367,0.36885803100821485,0.36,0.5163204747028834,0.9915761709493294,0.9430635645110647,0.32847384049778117,0.4
6240,2019-06-01,Damir Hadzovic,Christos Giagos,0,U-DEC,-0.09999999999999998,-0.5,0.6730165612610975,0.32956420642064205,1.436756903778657,0.8325823369062282,0.56,0.5163204747028834,0.9915761709493294,0.9430635645110647,0.32847384049778117,0.4
6241,2019-08-17,Drakkar Klose,Christos Giagos,1,U-DEC,0.9,0.09999999999999998,1.2008507555959549,0.48448851495726486,0.8995555293838171,0.6727265719228095,0.6,0.5163204747028834,0.9915761709493294,0.9430635645110647,0.32847384049778117,0.4
6242,2022-06-25,Thiago Moises,Christos Giagos,1,SUB,0.9,0.7,0.9674728523012481,0.8381162619573216,1.1924483578201623,0.28538609697381623,0.56,0.5163204747028834,0.9915761709493294,0.9430635645110647,0.32847384049778117,0.4
6243,2021-09-18,Arman Tsarukyan,Christos Giagos,1,KO/TKO,0.20000000000000007,0.10000000000000009,1.188939071909316,0.5240538081015494,1.071247599844069,0.9730214028750686,0.6499999999999999,0.5163204747028834,0.9915761709493294,0.9430635645110647,0.32847384049778117,0.4
6244,2019-11-16,Charles Oliveira,Jared Gordon,1,KO/TKO,1.5,0.5,0.967647721296491,2.088013509423212,1.081448370146708,0.583230709389401,0.6000000000000001,0.9748596792598984,0.5404109949480773,0.5928304596841106,0.7075480276093101,0.6285714285714286
6245,2017-10-28,Hacran Dias,Jared Gordon,0,U-DEC,-0.09999999999999998,0.1,0.885064075728875,0.4698693198693199,1.0820049665802138,0.33341498401431335,0.22499999999999998,0.9748596792598984,0.5404109949480773,0.5928304596841106,0.7075480276093101,0.6285714285714286
